"","Tumor_1","Tumor_2","Tumor_3","Tumor_4","Tumor_5","Tumor_6","Normal_1","Normal_2","Normal_3","Normal_4","Normal_5","Normal_6"
"GENE_12014",175,70,94,223,444,123,163,297,664,240,19,112
"GENE_12015",97,162,124,105,29,104,43,171,166,492,179,115
"GENE_12016",29,157,69,6,31,48,209,152,26,48,33,70
"GENE_12017",61,24,4,20,23,88,30,36,16,46,31,5
"GENE_12018",16,31,3,57,29,33,44,136,43,37,14,37
"GENE_12019",256,286,134,423,156,357,130,483,74,311,614,394
"GENE_12020",118,733,403,148,72,174,425,237,170,143,399,96
"GENE_12021",87,3,2,167,125,266,102,103,245,85,54,93
"GENE_12022",106,67,59,58,90,36,31,29,22,72,63,7
"GENE_12023",13,24,31,15,33,13,6,11,2,24,6,18
"GENE_12024",70,86,74,283,20,161,93,52,84,76,151,64
"GENE_12025",6,25,4,20,13,27,44,20,31,13,9,20
"GENE_12026",94,74,192,30,101,64,92,18,76,66,30,118
"GENE_12027",110,136,68,9,70,8,134,13,2,27,58,12
"GENE_12028",10,41,77,63,18,13,16,26,30,3,7,29
"GENE_12029",42,272,100,63,51,175,167,62,121,253,89,119
"GENE_12030",5,9,13,11,7,3,11,23,45,9,9,9
"GENE_12031",111,133,85,40,7,189,122,49,39,151,86,30
"GENE_12032",73,157,22,62,32,21,125,84,186,209,125,105
"GENE_12033",84,39,156,75,33,76,19,210,49,50,33,196
"GENE_12034",89,162,78,41,48,102,9,79,98,10,30,100
"GENE_12035",106,33,101,132,20,76,159,72,46,61,42,151
"GENE_12036",35,23,34,99,12,65,51,17,14,70,74,270
"GENE_12037",61,183,753,101,646,206,355,30,141,197,225,208
"GENE_12038",141,167,126,33,48,140,225,52,38,82,127,194
"GENE_12039",30,29,0,6,48,27,90,62,7,126,58,6
"GENE_12040",60,399,144,135,176,705,164,334,65,133,525,104
"GENE_12041",45,51,153,132,114,104,20,29,216,2,121,55
"GENE_12042",105,56,18,61,12,91,36,39,75,17,10,26
"GENE_12043",15,82,79,36,183,34,216,481,37,307,87,188
"GENE_12044",14,15,72,62,73,6,177,43,37,32,31,83
"GENE_12045",153,163,39,44,111,67,49,31,118,22,133,216
"GENE_12046",94,20,153,117,15,26,30,110,27,124,23,20
"GENE_12047",156,153,87,127,202,247,173,323,272,116,46,164
"GENE_12048",47,50,183,112,190,169,35,58,270,82,167,20
"GENE_12049",164,41,107,20,33,93,44,93,126,35,80,95
"GENE_12050",38,26,76,22,24,55,81,32,223,99,53,47
"GENE_12051",17,25,141,334,42,36,8,113,91,69,138,44
"GENE_12052",29,39,84,63,12,29,50,142,52,32,7,105
"GENE_12053",26,423,543,129,104,187,232,353,445,24,349,78
"GENE_12054",74,58,689,182,246,202,37,286,43,356,84,76
"GENE_12055",96,139,23,105,45,74,69,25,89,119,65,108
"GENE_12056",124,34,11,67,52,20,126,102,48,23,44,75
"GENE_12057",106,59,106,14,430,187,121,116,51,87,22,33
"GENE_12058",57,50,38,38,37,50,123,31,28,47,146,53
"GENE_12059",148,327,309,256,77,35,49,58,165,33,199,168
"GENE_12060",56,23,41,59,57,50,29,21,9,58,17,16
"GENE_12061",46,196,44,36,194,92,164,186,17,88,33,108
"GENE_12062",194,71,168,128,184,51,79,81,251,170,52,67
"GENE_12063",126,45,74,55,140,64,134,25,60,65,88,238
"GENE_12064",66,165,197,306,62,191,457,94,149,549,644,40
"GENE_12065",68,224,308,42,154,66,158,288,139,66,62,556
"GENE_12066",138,114,24,178,42,48,76,116,151,81,148,73
"GENE_12067",71,28,128,32,110,45,8,149,63,24,57,103
"GENE_12068",142,44,261,49,198,151,180,83,128,441,129,36
"GENE_12069",27,23,52,108,91,64,75,256,115,91,146,61
"GENE_12070",105,74,44,80,129,81,126,91,94,82,42,25
"GENE_12071",63,57,11,93,112,52,109,247,114,117,91,66
"GENE_12072",106,25,38,82,120,54,129,15,82,128,32,30
"GENE_12073",166,62,246,246,159,164,41,325,165,419,129,81
"GENE_12074",156,58,182,96,30,188,305,222,99,75,176,344
"GENE_12075",69,114,19,62,137,34,45,195,109,213,18,34
"GENE_12076",63,370,425,216,254,372,0,134,71,154,229,55
"GENE_12077",8,53,238,138,14,83,294,205,302,326,327,17
"GENE_12078",34,123,92,44,113,50,37,52,22,187,127,121
"GENE_12079",15,154,132,211,116,49,16,119,18,214,95,77
"GENE_12080",24,13,113,20,21,22,39,77,27,64,18,9
"GENE_12081",155,194,290,181,93,205,139,265,180,108,102,257
"GENE_12082",47,10,13,47,12,22,29,139,89,32,49,46
"GENE_12083",165,384,174,138,198,188,61,537,222,125,302,289
"GENE_12084",150,84,26,39,12,46,69,37,25,10,107,147
"GENE_12085",19,27,50,44,20,34,38,36,30,43,19,3
"GENE_12086",63,63,44,100,152,20,89,294,50,239,24,143
"GENE_12087",191,8,96,23,78,98,102,216,148,206,88,245
"GENE_12088",42,21,35,34,51,75,16,20,35,25,21,79
"GENE_12089",22,173,400,789,200,307,158,801,401,63,175,153
"GENE_12090",26,98,64,9,42,194,378,94,62,139,216,304
"GENE_12091",85,36,48,34,73,43,15,16,64,95,79,86
"GENE_12092",108,84,74,244,61,64,10,112,52,175,116,38
"GENE_12093",81,89,245,157,94,150,69,43,67,93,41,100
"GENE_12094",12,0,40,21,8,5,72,6,13,21,24,28
"GENE_12095",30,28,137,11,4,24,41,39,65,51,28,59
"GENE_12096",40,34,59,42,23,28,102,18,43,68,33,83
"GENE_12097",393,76,89,98,75,292,225,277,131,124,129,109
"GENE_12098",62,56,72,5,13,58,32,32,92,139,217,116
"GENE_12099",48,134,331,21,448,101,136,280,20,138,237,138
"GENE_12100",24,12,58,114,116,167,57,58,98,26,65,193
"GENE_12101",18,27,67,64,293,191,96,68,54,115,68,217
"GENE_12102",6,9,15,21,18,0,3,41,2,3,16,6
"GENE_12103",236,48,54,62,136,49,47,36,48,144,43,131
"GENE_12104",90,128,47,81,62,282,23,58,70,72,86,110
"GENE_12105",197,344,279,243,194,74,303,186,506,264,293,213
"GENE_12106",338,47,85,141,114,375,93,125,54,133,38,268
"GENE_12107",6,15,51,41,7,30,6,11,23,11,29,96
"GENE_12108",7,23,19,24,99,29,46,49,6,40,59,24
"GENE_12109",64,11,28,24,19,28,16,27,17,25,44,35
"GENE_12110",19,7,31,25,24,14,29,0,31,12,46,15
"GENE_12111",50,127,88,20,5,24,90,19,38,126,25,27
"GENE_12112",2,27,58,12,12,19,10,30,32,49,17,27
"GENE_12113",12,16,27,13,40,14,39,7,8,11,10,7
"GENE_12114",58,21,15,61,27,24,14,4,31,22,25,78
"GENE_12115",73,178,135,44,108,73,110,53,145,38,405,41
"GENE_12116",99,46,192,113,103,36,42,28,163,220,36,118
"GENE_12117",5,2,82,38,5,43,11,74,128,71,19,52
"GENE_12118",60,74,47,97,104,82,76,59,12,85,247,118
"GENE_12119",41,166,254,311,36,146,161,40,57,143,139,100
"GENE_12120",7,47,27,24,14,24,61,60,13,4,41,37
"GENE_12121",11,12,54,115,94,55,116,17,136,70,79,58
"GENE_12122",68,97,60,137,186,200,80,178,542,126,190,145
"GENE_12123",253,19,135,275,54,210,85,23,148,194,114,143
"GENE_12124",53,172,106,22,35,168,167,150,89,145,3,93
"GENE_12125",62,31,10,134,44,57,63,75,112,18,52,14
"GENE_12126",140,124,117,71,222,40,152,415,64,47,67,63
"GENE_12127",81,124,250,30,127,43,28,182,308,51,198,159
"GENE_12128",97,222,53,43,18,104,64,72,91,85,274,81
"GENE_12129",207,188,168,289,106,310,82,90,37,407,129,102
"GENE_12130",31,11,24,37,23,42,13,26,28,56,30,6
"GENE_12131",57,63,17,190,17,17,291,314,51,47,94,172
"GENE_12132",16,32,19,11,15,44,9,21,54,19,44,27
"GENE_12133",25,18,48,70,69,54,67,53,368,70,138,95
"GENE_12134",101,31,76,40,125,125,12,68,35,34,112,18
"GENE_12135",125,98,12,39,127,59,35,165,79,142,108,92
"GENE_12136",334,37,257,35,230,169,180,99,513,52,55,136
"GENE_12137",49,434,116,30,116,233,346,137,434,127,552,82
"GENE_12138",258,536,525,224,200,321,347,279,162,412,810,46
"GENE_12139",219,57,76,81,46,179,19,53,213,102,198,126
"GENE_12140",94,130,152,87,127,31,80,74,165,132,141,85
"GENE_12141",52,60,17,43,17,15,31,22,33,66,144,121
"GENE_12142",135,13,36,141,129,126,85,80,257,90,57,90
"GENE_12143",57,73,78,131,13,64,86,75,170,25,96,77
"GENE_12144",15,1,3,15,1,6,2,7,20,22,12,2
"GENE_12145",11,33,65,30,8,49,31,65,21,22,60,40
"GENE_12146",59,151,107,140,62,92,160,178,150,76,188,60
"GENE_12147",31,15,23,52,28,28,67,116,124,60,4,113
"GENE_12148",235,96,79,371,376,115,114,110,128,203,104,129
"GENE_12149",51,48,147,60,222,232,166,164,168,158,162,230
"GENE_12150",134,72,105,126,103,46,59,224,31,66,158,91
"GENE_12151",42,84,20,26,18,18,48,13,83,33,90,38
"GENE_12152",481,15,280,41,237,89,86,62,61,85,23,68
"GENE_12153",28,9,47,49,12,10,98,13,1,30,10,51
"GENE_12154",32,103,41,295,45,58,284,141,82,310,63,208
"GENE_12155",164,131,82,255,123,369,381,140,181,54,142,242
"GENE_12156",44,42,58,190,256,366,82,417,458,474,306,94
"GENE_12157",2,7,6,2,1,4,5,2,4,7,2,9
"GENE_12158",60,52,94,54,6,40,110,7,34,22,21,93
"GENE_12159",155,38,95,176,224,77,8,114,57,137,116,188
"GENE_12160",8,154,16,76,197,138,72,101,78,86,61,244
"GENE_12161",47,5,33,23,23,8,0,29,72,80,16,35
"GENE_12162",170,196,145,306,45,238,99,177,206,202,411,126
"GENE_12163",59,490,205,333,121,595,340,240,393,593,260,858
"GENE_12164",288,321,310,430,93,118,33,70,55,168,98,236
"GENE_12165",8,14,6,0,3,4,8,6,3,10,3,4
"GENE_12166",57,89,13,18,41,15,57,59,104,15,16,105
"GENE_12167",47,1,4,46,20,19,24,35,27,21,33,17
"GENE_12168",160,154,80,375,185,163,56,118,342,133,271,64
"GENE_12169",152,73,24,53,17,80,73,121,85,254,66,69
"GENE_12170",486,176,162,90,99,101,49,227,86,154,227,210
"GENE_12171",61,49,25,45,49,90,22,28,98,68,41,96
"GENE_12172",50,91,63,94,174,66,50,47,13,21,54,34
"GENE_12173",16,168,126,83,132,152,74,68,306,163,327,80
"GENE_12174",24,59,126,97,428,87,18,74,93,12,45,77
"GENE_12175",189,225,710,148,73,143,134,98,59,101,430,315
"GENE_12176",56,86,59,17,26,124,32,57,55,57,87,23
"GENE_12177",43,18,14,39,69,14,81,27,27,45,27,23
"GENE_12178",282,65,54,227,123,61,224,31,166,99,65,132
"GENE_12179",31,54,32,85,22,16,25,18,7,14,11,88
"GENE_12180",244,201,99,97,64,289,113,407,53,33,71,112
"GENE_12181",101,27,37,111,23,172,126,121,98,45,24,129
"GENE_12182",214,34,141,89,118,55,18,93,81,31,31,36
"GENE_12183",67,125,45,261,79,268,493,143,106,116,113,100
"GENE_12184",377,510,48,169,312,140,357,248,123,141,120,35
"GENE_12185",321,46,143,100,29,47,138,210,138,54,115,107
"GENE_12186",26,93,273,120,56,36,31,56,140,84,98,101
"GENE_12187",78,109,86,214,130,180,39,131,151,180,62,219
"GENE_12188",15,15,83,92,4,6,69,18,13,13,71,34
"GENE_12189",159,156,266,56,184,49,74,26,184,32,362,101
"GENE_12190",157,408,136,564,312,41,127,743,240,213,434,267
"GENE_12191",110,211,69,164,171,42,221,228,247,69,179,259
"GENE_12192",203,112,32,73,172,75,93,83,178,38,258,57
"GENE_12193",9,6,14,4,9,30,72,28,86,42,35,54
"GENE_12194",194,43,43,75,95,59,116,57,110,157,142,65
"GENE_12195",371,201,63,340,305,621,190,33,129,69,424,181
"GENE_12196",178,234,180,115,78,38,20,101,62,193,36,35
"GENE_12197",188,452,53,112,142,202,179,193,218,102,143,121
"GENE_12198",22,55,56,32,55,48,50,123,42,62,28,32
"GENE_12199",41,42,26,5,17,40,4,8,18,2,38,81
"GENE_12200",73,26,19,9,78,15,9,11,39,72,14,10
"GENE_12201",21,45,19,48,13,22,30,26,11,5,35,17
"GENE_12202",93,244,81,112,104,256,130,660,401,200,337,229
"GENE_12203",131,88,43,42,52,44,196,34,127,57,19,211
"GENE_12204",35,48,109,255,81,109,131,82,82,137,69,12
"GENE_12205",11,33,3,30,38,74,30,24,17,30,20,98
"GENE_12206",27,31,27,11,6,24,10,49,14,58,7,26
"GENE_12207",24,11,21,34,12,23,7,34,22,35,7,21
"GENE_12208",56,69,29,67,89,46,44,141,34,21,19,81
"GENE_12209",3,16,6,3,6,7,9,33,5,9,5,29
"GENE_12210",90,40,88,26,73,36,68,19,131,90,90,80
"GENE_12211",37,152,98,58,105,20,52,24,143,35,132,25
"GENE_12212",41,13,57,72,78,10,54,9,28,208,2,8
"GENE_12213",328,312,158,312,106,74,363,512,179,80,142,158
"GENE_12214",14,56,17,0,10,6,52,10,30,65,23,7
"GENE_12215",36,268,137,93,68,207,19,4,83,129,51,57
"GENE_12216",8,43,159,24,126,80,13,193,130,65,59,44
"GENE_12217",28,12,18,3,37,17,4,47,26,11,16,25
"GENE_12218",176,100,196,196,278,103,380,115,222,43,406,115
"GENE_12219",55,11,188,211,85,101,279,53,61,254,312,107
"GENE_12220",431,493,335,308,63,160,77,239,337,67,741,516
"GENE_12221",12,3,6,6,26,7,0,13,11,5,24,13
"GENE_12222",10,133,72,17,37,23,67,168,67,58,27,88
"GENE_12223",63,158,86,70,22,61,3,6,2,92,35,13
"GENE_12224",21,60,69,38,15,35,63,13,6,14,27,86
"GENE_12225",84,16,63,54,5,144,11,11,113,29,37,41
"GENE_12226",51,33,297,134,64,333,98,210,84,28,52,38
"GENE_12227",196,116,72,84,359,236,285,192,129,125,172,447
"GENE_12228",5,3,8,8,59,8,24,9,29,34,35,17
"GENE_12229",8,44,40,28,101,16,39,26,42,81,61,19
"GENE_12230",18,11,7,8,19,6,34,13,41,19,29,12
"GENE_12231",12,10,30,16,11,18,12,10,14,6,43,14
"GENE_12232",162,141,319,13,824,116,146,309,712,261,535,101
"GENE_12233",164,21,219,108,79,84,98,37,39,16,132,135
"GENE_12234",81,110,35,89,27,14,23,48,173,98,69,32
"GENE_12235",28,18,4,24,24,63,8,53,32,84,8,6
"GENE_12236",105,315,43,270,244,25,158,236,123,115,174,175
"GENE_12237",30,55,31,21,58,47,24,69,0,35,26,28
"GENE_12238",72,68,93,64,100,111,52,32,80,32,98,308
"GENE_12239",143,75,44,32,56,20,29,81,17,10,68,97
"GENE_12240",81,105,55,214,71,40,19,32,207,13,35,104
"GENE_12241",174,136,75,27,33,311,114,39,60,136,292,133
"GENE_12242",26,11,10,50,6,13,3,72,13,10,14,34
"GENE_12243",28,57,87,35,9,22,24,122,53,36,23,57
"GENE_12244",27,15,44,10,25,22,60,46,20,7,83,29
"GENE_12245",22,48,9,15,91,10,15,43,79,139,49,39
"GENE_12246",140,115,135,168,92,85,88,50,168,107,308,282
"GENE_12247",250,224,103,196,45,133,188,71,130,216,311,57
"GENE_12248",42,21,16,145,33,34,66,74,18,38,51,8
"GENE_12249",62,65,10,19,23,14,53,13,70,8,21,54
"GENE_12250",41,56,8,128,76,73,159,34,31,49,49,65
"GENE_12251",604,61,213,70,70,487,124,586,190,145,30,463
"GENE_12252",385,187,125,89,57,103,33,57,44,109,101,143
"GENE_12253",95,29,143,142,58,236,135,71,161,61,67,124
"GENE_12254",21,37,11,12,16,22,13,15,36,10,23,26
"GENE_12255",31,99,145,81,100,168,23,116,52,52,157,83
"GENE_12256",230,120,413,456,77,414,34,500,225,72,158,144
"GENE_12257",76,238,171,80,23,44,42,14,24,48,127,55
"GENE_12258",102,62,49,29,75,31,26,95,14,50,143,72
"GENE_12259",22,108,40,116,4,53,99,14,15,24,22,70
"GENE_12260",11,28,62,25,18,50,52,13,14,47,82,24
"GENE_12261",50,57,35,28,48,91,189,60,84,54,60,54
"GENE_12262",88,157,134,261,374,492,56,246,199,119,356,207
"GENE_12263",36,84,42,54,60,103,54,33,114,89,31,44
"GENE_12264",98,35,52,111,43,176,76,21,106,102,183,20
"GENE_12265",5,47,2,26,23,4,34,10,17,22,21,2
"GENE_12266",66,68,15,25,11,47,25,42,4,25,4,9
"GENE_12267",22,174,39,189,222,322,126,10,339,474,225,242
"GENE_12268",110,177,23,137,64,166,35,11,114,53,35,88
"GENE_12269",157,96,32,237,27,364,56,414,37,69,77,129
"GENE_12270",47,19,15,8,34,7,21,20,21,108,82,22
"GENE_12271",126,93,23,13,105,20,23,40,160,34,17,35
"GENE_12272",178,129,164,47,236,90,133,50,119,62,143,104
"GENE_12273",73,17,12,48,40,31,29,31,39,5,25,52
"GENE_12274",196,397,63,258,63,21,65,385,47,72,424,123
"GENE_12275",14,198,93,10,70,149,31,275,54,196,10,207
"GENE_12276",27,136,126,68,4,21,46,148,28,129,71,44
"GENE_12277",271,224,7,196,91,180,24,157,25,35,88,81
"GENE_12278",67,55,243,167,113,50,30,217,111,53,190,19
"GENE_12279",45,4,159,201,59,48,29,80,39,195,104,85
"GENE_12280",280,161,234,203,480,152,329,738,87,537,253,338
"GENE_12281",11,5,8,10,29,34,13,23,16,4,5,3
"GENE_12282",83,8,103,282,187,90,168,185,138,60,34,17
"GENE_12283",61,57,25,16,20,21,40,13,20,21,46,20
"GENE_12284",232,72,93,49,4,193,39,58,31,105,19,19
"GENE_12285",55,61,103,33,35,40,12,30,34,12,17,53
"GENE_12286",99,273,157,86,95,122,158,50,389,481,41,185
"GENE_12287",43,56,101,68,74,12,56,141,49,160,156,27
"GENE_12288",268,307,684,326,143,424,223,343,316,167,246,212
"GENE_12289",22,36,52,43,135,106,69,88,270,115,67,44
"GENE_12290",216,131,97,48,288,141,5,186,189,285,185,160
"GENE_12291",25,24,10,94,47,87,37,45,17,12,0,56
"GENE_12292",16,191,69,242,187,146,73,53,60,16,65,59
"GENE_12293",129,78,80,118,97,25,110,328,131,48,44,35
"GENE_12294",150,35,203,52,168,214,299,72,151,106,88,200
"GENE_12295",50,103,9,80,34,74,38,40,26,13,25,44
"GENE_12296",121,89,23,112,99,153,139,180,257,47,97,125
"GENE_12297",102,40,95,29,3,36,32,77,47,32,90,57
"GENE_12298",82,9,76,144,9,73,88,6,113,173,48,68
"GENE_12299",139,22,103,144,68,125,83,97,78,37,71,104
"GENE_12300",171,46,231,82,138,330,128,116,54,424,250,87
"GENE_12301",19,215,34,70,136,227,89,3,92,101,34,164
"GENE_12302",4,15,29,34,29,24,11,9,45,20,3,20
"GENE_12303",170,103,35,121,71,47,218,219,172,78,76,130
"GENE_12304",3,18,39,7,6,84,5,7,9,7,13,30
"GENE_12305",63,144,111,97,72,120,119,105,24,88,50,2
"GENE_12306",388,228,307,223,248,97,221,358,516,90,427,608
"GENE_12307",2,81,65,61,58,109,55,34,26,176,22,9
"GENE_12308",238,61,139,39,104,36,43,142,37,33,241,56
"GENE_12309",27,50,0,48,3,18,30,36,41,27,10,21
"GENE_12310",365,75,151,48,333,290,364,135,14,176,96,187
"GENE_12311",28,33,10,30,3,17,39,68,13,8,28,20
"GENE_12312",2,4,9,2,12,8,23,10,6,19,3,14
"GENE_12313",142,11,55,39,84,35,40,70,24,54,59,56
"GENE_12314",145,1,29,43,115,153,50,18,98,17,158,83
"GENE_12315",65,197,7,62,105,197,79,139,255,376,144,161
"GENE_12316",187,24,39,124,94,110,13,68,23,32,28,34
"GENE_12317",41,70,41,69,177,181,99,128,71,40,145,11
"GENE_12318",84,40,102,88,85,48,141,83,125,62,248,131
"GENE_12319",101,82,101,81,198,125,302,162,106,205,33,142
"GENE_12320",169,76,17,175,36,28,55,11,229,130,49,225
"GENE_12321",90,120,84,25,58,21,22,47,51,109,47,201
"GENE_12322",22,16,27,57,62,37,22,48,12,49,17,15
"GENE_12323",281,63,214,79,109,32,53,37,84,76,86,9
"GENE_12324",17,45,11,11,4,25,26,25,18,7,33,6
"GENE_12325",157,294,260,11,199,275,58,241,112,153,216,286
"GENE_12326",19,47,122,31,42,60,193,111,50,71,183,175
"GENE_12327",227,320,228,133,121,98,105,194,189,466,75,217
"GENE_12328",77,236,308,101,349,33,121,80,189,207,324,122
"GENE_12329",87,38,28,54,18,91,90,57,4,18,75,56
"GENE_12330",10,21,24,7,28,9,37,17,9,24,41,55
"GENE_12331",379,135,626,511,225,190,150,390,241,39,140,99
"GENE_12332",11,0,17,2,7,4,3,23,5,28,9,7
"GENE_12333",46,115,61,86,107,25,168,126,66,88,79,36
"GENE_12334",283,193,420,82,389,123,121,144,223,549,88,212
"GENE_12335",69,164,41,96,97,63,19,69,24,17,58,56
"GENE_12336",148,40,166,157,41,40,196,143,133,91,68,43
"GENE_12337",72,117,103,65,51,179,48,39,101,22,76,56
"GENE_12338",19,46,24,29,21,12,6,15,2,10,21,15
"GENE_12339",6,58,29,16,12,11,46,42,41,55,62,12
"GENE_12340",491,36,373,121,83,70,85,84,11,42,73,40
"GENE_12341",7,14,8,5,7,49,3,8,9,13,4,9
"GENE_12342",94,185,233,5,58,43,90,91,72,98,37,220
"GENE_12343",97,83,63,16,110,136,146,43,53,89,188,153
"GENE_12344",67,35,26,23,34,51,135,52,6,36,31,25
"GENE_12345",167,177,19,137,213,189,126,206,221,52,86,42
"GENE_12346",108,16,93,5,41,86,90,41,66,55,71,136
"GENE_12347",17,16,3,30,4,28,13,18,22,10,33,11
"GENE_12348",47,16,28,18,28,6,30,48,29,24,8,57
"GENE_12349",203,29,111,105,158,169,90,25,108,64,187,119
"GENE_12350",103,8,13,67,108,12,36,65,94,57,127,22
"GENE_12351",99,151,58,58,61,26,130,15,164,158,16,49
"GENE_12352",27,34,15,28,25,12,9,51,45,40,83,27
"GENE_12353",93,25,204,137,17,174,70,83,90,52,79,92
"GENE_12354",38,66,68,63,18,15,28,57,7,42,21,33
"GENE_12355",93,317,141,325,62,166,61,29,76,303,107,42
"GENE_12356",214,139,98,71,143,117,80,137,61,201,193,11
"GENE_12357",644,1372,455,310,53,227,878,43,146,1022,501,809
"GENE_12358",382,684,391,299,389,445,579,874,543,340,362,618
"GENE_12359",143,78,80,109,47,91,75,78,40,53,73,52
"GENE_12360",18,11,6,3,3,15,5,11,8,1,4,5
"GENE_12361",93,18,139,77,164,45,45,174,51,163,104,162
"GENE_12362",80,80,143,9,1,47,28,65,84,183,57,24
"GENE_12363",4,21,6,40,7,3,19,26,82,65,7,8
"GENE_12364",196,71,150,180,19,68,111,65,107,23,128,35
"GENE_12365",44,17,21,82,13,18,18,39,7,41,33,43
"GENE_12366",42,25,130,137,29,57,156,24,34,67,30,102
"GENE_12367",16,19,37,60,55,106,13,51,48,26,75,23
"GENE_12368",211,392,42,174,378,190,458,54,329,324,144,198
"GENE_12369",28,8,47,32,63,38,70,2,37,7,17,23
"GENE_12370",17,169,220,133,85,110,166,109,8,167,88,164
"GENE_12371",183,84,102,176,42,102,18,9,136,9,39,180
"GENE_12372",23,16,36,38,17,50,22,1,26,7,7,22
"GENE_12373",77,76,75,62,71,64,51,73,61,31,30,36
"GENE_12374",91,26,17,60,26,44,25,50,31,54,8,62
"GENE_12375",100,19,96,142,89,34,162,68,70,232,41,96
"GENE_12376",217,119,19,511,32,103,120,37,6,53,144,114
"GENE_12377",2,14,71,16,35,18,27,56,9,21,95,58
"GENE_12378",23,33,12,40,74,23,55,61,8,38,20,46
"GENE_12379",405,144,41,147,174,128,28,267,84,150,90,23
"GENE_12380",104,19,17,6,8,3,37,9,38,35,15,55
"GENE_12381",14,16,10,32,55,73,45,18,59,5,21,49
"GENE_12382",78,74,126,140,16,86,77,55,16,10,119,379
"GENE_12383",36,7,228,237,172,375,103,244,79,113,55,56
"GENE_12384",12,34,8,37,4,7,29,46,12,36,1,13
"GENE_12385",275,535,70,256,161,62,76,239,134,238,42,220
"GENE_12386",18,69,125,101,110,84,21,67,44,71,23,181
"GENE_12387",13,128,33,48,95,51,78,15,26,75,13,6
"GENE_12388",126,174,58,25,112,15,178,207,117,147,69,263
"GENE_12389",33,98,61,47,27,3,24,45,27,102,19,28
"GENE_12390",125,32,155,91,28,18,83,109,37,78,36,95
"GENE_12391",17,21,16,0,47,14,17,15,25,44,46,131
"GENE_12392",185,634,131,45,296,61,88,212,223,84,269,21
"GENE_12393",185,92,117,47,123,88,45,80,293,104,194,109
"GENE_12394",18,24,36,17,45,60,12,24,63,39,17,27
"GENE_12395",276,206,265,73,125,63,96,430,222,73,56,62
"GENE_12396",135,94,179,90,146,285,277,14,98,136,145,110
"GENE_12397",78,49,62,1,70,149,54,166,31,32,43,93
"GENE_12398",15,5,20,24,13,24,16,19,34,14,1,20
"GENE_12399",34,68,161,137,108,271,56,142,43,53,76,182
"GENE_12400",54,12,24,11,27,65,7,63,53,14,29,46
"GENE_12401",70,44,72,73,68,37,114,18,38,85,35,108
"GENE_12402",43,7,49,46,32,49,49,30,16,61,82,132
"GENE_12403",62,51,7,95,26,86,142,103,79,122,71,39
"GENE_12404",46,18,99,95,96,47,53,19,33,14,25,67
"GENE_12405",7,11,23,38,27,29,42,42,48,59,9,30
"GENE_12406",193,155,413,274,60,396,324,230,408,172,71,17
"GENE_12407",43,71,80,41,84,44,34,78,72,53,38,50
"GENE_12408",370,206,456,232,493,536,212,253,170,117,221,147
"GENE_12409",151,65,57,46,66,98,27,61,158,42,54,10
"GENE_12410",14,83,88,57,70,8,76,51,28,17,15,117
"GENE_12411",49,171,91,184,53,22,227,150,225,44,185,5
"GENE_12412",23,60,93,11,29,60,56,67,9,24,14,23
"GENE_12413",120,199,52,190,389,137,163,92,71,252,187,142
"GENE_12414",46,54,80,17,66,48,35,22,27,35,18,39
"GENE_12415",52,91,59,101,44,99,206,117,72,56,25,48
"GENE_12416",205,112,564,28,104,247,147,193,177,338,154,50
"GENE_12417",41,33,79,158,93,59,157,78,57,99,11,41
"GENE_12418",51,54,111,131,153,33,23,78,40,166,81,125
"GENE_12419",395,272,119,199,248,426,200,300,109,215,320,226
"GENE_12420",74,82,3,13,83,30,27,95,5,29,19,74
"GENE_12421",42,11,47,158,33,60,59,59,63,88,40,92
"GENE_12422",24,39,87,66,52,26,128,115,41,39,171,56
"GENE_12423",58,56,81,119,47,21,108,68,83,61,28,63
"GENE_12424",67,77,50,80,9,43,38,41,80,33,5,54
"GENE_12425",35,33,20,41,20,11,17,18,27,31,3,18
"GENE_12426",74,49,6,105,57,70,58,16,20,137,31,37
"GENE_12427",5,1,9,10,2,5,8,3,11,12,3,2
"GENE_12428",143,156,36,42,190,298,19,78,92,102,94,64
"GENE_12429",13,20,19,9,38,25,12,9,2,46,28,22
"GENE_12430",284,212,195,51,38,65,178,42,107,194,227,247
"GENE_12431",69,45,14,8,21,6,24,137,108,64,78,86
"GENE_12432",97,92,143,52,139,185,125,92,42,183,6,38
"GENE_12433",47,94,40,46,10,14,32,147,19,36,15,60
"GENE_12434",40,516,13,46,99,331,458,185,80,186,326,105
"GENE_12435",68,114,53,81,123,34,105,177,82,9,32,10
"GENE_12436",36,286,58,161,126,174,302,141,323,47,126,269
"GENE_12437",329,170,74,30,182,217,266,139,214,1126,375,79
"GENE_12438",7,15,43,12,21,20,12,1,17,3,2,25
"GENE_12439",10,122,24,41,82,28,121,162,108,115,51,91
"GENE_12440",68,74,90,44,134,72,59,65,31,43,42,76
"GENE_12441",2,6,13,4,8,5,3,4,2,11,9,2
"GENE_12442",97,60,17,13,76,52,54,12,51,21,21,17
"GENE_12443",84,52,58,35,152,40,10,39,10,111,28,61
"GENE_12444",376,126,389,432,127,47,164,76,119,73,106,297
"GENE_12445",55,134,82,83,57,129,74,79,48,20,17,27
"GENE_12446",8,66,53,96,68,18,37,31,162,72,124,65
"GENE_12447",45,124,45,232,60,24,76,132,8,104,34,121
